"ID","DOY","LAT","LONG","MAX","QGIS_ID"
"20/47.5","277","47.5","20","Max","1"
"20/50","271","50","20","Max","18"
"22.5/47.5","278","47.5","22.5","Max","2"
"22.5/50","272","50","22.5","Max","19"
"22.5/52.5","249","52.5","22.5","Max","36"
"25/47.5","261","47.5","25","Max","3"
"25/50","273","50","25","Max","20"
"25/52.5","252","52.5","25","Max","37"
"27.5/47.5","277","47.5","27.5","Max","4"
"27.5/50","274","50","27.5","Max","21"
"27.5/52.5","259","52.5","27.5","Max","38"
"30/47.5","278","47.5","30","Max","5"
"30/50","274","50","30","Max","22"
"30/52.5","264","52.5","30","Max","39"
"32.5/47.5","287","47.5","32.5","Max","6"
"32.5/50","276","50","32.5","Max","23"
"32.5/52.5","265","52.5","32.5","Max","40"
"32.5/55","252","55","32.5","Max","57"
"35/47.5","287","47.5","35","Max","7"
"35/50","276","50","35","Max","24"
"35/52.5","265","52.5","35","Max","41"
"35/55","254","55","35","Max","58"
"35/57.5","231","57.5","35","Max","75"
"37.5/47.5","286","47.5","37.5","Max","8"
"37.5/50","276","50","37.5","Max","25"
"37.5/52.5","266","52.5","37.5","Max","42"
"37.5/55","258","55","37.5","Max","59"
"37.5/57.5","245","57.5","37.5","Max","76"
"40/47.5","286","47.5","40","Max","9"
"40/50","277","50","40","Max","26"
"40/52.5","267","52.5","40","Max","43"
"40/55","264","55","40","Max","60"
"40/57.5","252","57.5","40","Max","77"
"40/60","232","60","40","Max","94"
"42.5/47.5","287","47.5","42.5","Max","10"
"42.5/50","277","50","42.5","Max","27"
"42.5/52.5","267","52.5","42.5","Max","44"
"42.5/55","265","55","42.5","Max","61"
"42.5/57.5","254","57.5","42.5","Max","78"
"42.5/60","244","60","42.5","Max","95"
"45/47.5","288","47.5","45","Max","11"
"45/50","277","50","45","Max","28"
"45/52.5","267","52.5","45","Max","45"
"45/55","265","55","45","Max","62"
"45/57.5","255","57.5","45","Max","79"
"45/60","244","60","45","Max","96"
"45/62.5","229","62.5","45","Max","113"
"47.5/47.5","289","47.5","47.5","Max","12"
"47.5/50","280","50","47.5","Max","29"
"47.5/52.5","267","52.5","47.5","Max","46"
"47.5/55","265","55","47.5","Max","63"
"47.5/57.5","255","57.5","47.5","Max","80"
"47.5/60","245","60","47.5","Max","97"
"47.5/62.5","233","62.5","47.5","Max","114"
"50/47.5","290","47.5","50","Max","13"
"50/50","281","50","50","Max","30"
"50/52.5","268","52.5","50","Max","47"
"50/55","266","55","50","Max","64"
"50/57.5","255","57.5","50","Max","81"
"50/60","245","60","50","Max","98"
"50/62.5","234","62.5","50","Max","115"
"52.5/47.5","290","47.5","52.5","Max","14"
"52.5/50","281","50","52.5","Max","31"
"52.5/52.5","268","52.5","52.5","Max","48"
"52.5/55","266","55","52.5","Max","65"
"52.5/57.5","255","57.5","52.5","Max","82"
"52.5/60","246","60","52.5","Max","99"
"52.5/62.5","235","62.5","52.5","Max","116"
"52.5/65","228","65","52.5","Max","133"
"55/47.5","290","47.5","55","Max","15"
"55/50","281","50","55","Max","32"
"55/52.5","267","52.5","55","Max","49"
"55/55","266","55","55","Max","66"
"55/57.5","255","57.5","55","Max","83"
"55/60","246","60","55","Max","100"
"55/62.5","241","62.5","55","Max","117"
"55/65","229","65","55","Max","134"
"57.5/47.5","289","47.5","57.5","Max","16"
"57.5/50","279","50","57.5","Max","33"
"57.5/52.5","266","52.5","57.5","Max","50"
"57.5/55","255","55","57.5","Max","67"
"57.5/57.5","255","57.5","57.5","Max","84"
"57.5/60","246","60","57.5","Max","101"
"57.5/62.5","241","62.5","57.5","Max","118"
"57.5/65","230","65","57.5","Max","135"
"60/47.5","289","47.5","60","Max","17"
"60/50","280","50","60","Max","34"
"60/52.5","267","52.5","60","Max","51"
"60/55","256","55","60","Max","68"
"60/57.5","248","57.5","60","Max","85"
"60/60","246","60","60","Max","102"
"60/62.5","241","62.5","60","Max","119"
